Folder,BatchSize,Target,TrainLoss,ValLoss,TestLoss,TrainPCC,ValPCC,TestPCC,BestEpoch,LRate,BestTestPCC,Seed,Activation,BestDistEpoch,BDETrainLoss,BDEValLoss,BDETestLoss,BDETrainPCC,BDEValPCC,BDETestPCC,BestDist
models/FCN/2020-07-03_14-23-07CAT_FUZZYFEAT_INCL_REF,4831,MeanOS,0.397936692,0.493124271,0.907144763,0.908389347,0.855533471,0.653250616,633,0.0001,0.816278652,0,Relu,110,0.616187843,0.608914765,0.675543875,0.760220796,0.769856882,0.805032962,0.67598184
models/FCN/2020-07-03_14-24-38CAT_FUZZYFEAT_INCL_REF,4831,MeanOS,0.388209681,0.492265863,0.743248088,0.913576617,0.851947761,0.775960186,625,0.0001,0.807652993,1,Relu,127,0.593947821,0.597654364,0.651815527,0.779672057,0.773028342,0.802669323,0.65419861
models/FCN/2020-07-03_14-26-39CAT_FUZZYFEAT_INCL_REF,4831,MeanOS,0.381994588,0.455783824,0.960771148,0.91540631,0.886185334,0.579891053,709,0.0001,0.799253425,2,Relu,226,0.528463023,0.521663985,0.721315015,0.828551578,0.850646413,0.757348763,0.657653343
models/FCN/2020-07-03_14-28-44CAT_FUZZYFEAT_INCL_REF,4831,MeanOS,0.361485992,0.515542105,0.739408553,0.924298766,0.845342508,0.757278272,710,0.0001,0.828941618,3,Relu,322,0.470149827,0.550292536,0.606197442,0.868623313,0.820318396,0.824680981,0.584056771
models/FCN/2020-07-03_14-30-52CAT_FUZZYFEAT_INCL_REF,4831,MeanOS,0.391601102,0.477368932,0.867341368,0.912003648,0.85616941,0.670507842,545,0.0001,0.811807209,4,Relu,161,0.575924989,0.562799407,0.649981779,0.795807447,0.791728638,0.7998679,0.636286691
models/FCN/2020-07-03_14-33-03CAT_FUZZYFEAT_INCL_REF,4831,MeanOS,0.432013487,0.495104621,0.671092682,0.890170044,0.855926368,0.784071916,531,0.0001,0.852747125,5,Relu,332,0.490747208,0.510125975,0.636887924,0.855378628,0.846618781,0.812637199,0.589396721
models/FCN/2020-07-03_14-35-15CAT_FUZZYFEAT_INCL_REF,4831,MeanOS,0.370147728,0.476115413,0.855721107,0.920597466,0.864675498,0.67950356,770,0.0001,0.818931862,6,Relu,181,0.529054463,0.558993848,0.725582874,0.831118353,0.80905112,0.759777266,0.670218761
models/FCN/2020-07-03_14-37-28CAT_FUZZYFEAT_INCL_REF,4831,MeanOS,0.397182003,0.473996846,0.778588628,0.907640394,0.870013662,0.72226933,678,0.0001,0.783150339,7,Relu,215,0.551349084,0.558767147,0.672891399,0.812433507,0.816274738,0.776936061,0.639379516
models/FCN/2020-07-03_14-39-42CAT_FUZZYFEAT_INCL_REF,4831,MeanOS,0.360830247,0.458449157,0.825465361,0.924086452,0.886007389,0.701808262,713,0.0001,0.809867098,8,Relu,156,0.51083647,0.547996735,0.686432346,0.84104782,0.832656969,0.783865729,0.636580702
models/FCN/2020-07-03_14-41-54CAT_FUZZYFEAT_INCL_REF,4831,MeanOS,0.364928683,0.457083245,0.894732796,0.923467557,0.868630782,0.630029164,773,0.0001,0.833687546,9,Relu,184,0.541739538,0.564375467,0.666062745,0.821525806,0.791531651,0.792509962,0.636061427
models/FCN/2020-07-03_14-44-10CAT_FUZZYFEAT_INCL_REF,4831,MeanOS,0.42689201,0.495249553,0.787178445,0.892768493,0.853243638,0.739288188,388,0.0001,0.830278696,10,Relu,141,0.558849402,0.564724068,0.656327476,0.807581232,0.804026857,0.805973286,0.631830701
models/FCN/2020-07-03_14-46-25CAT_FUZZYFEAT_INCL_REF,4831,MeanOS,0.41257842,0.486503191,0.69212244,0.901039451,0.847713102,0.777223842,626,0.0001,0.830662922,11,Relu,263,0.497347328,0.52442053,0.614190726,0.853183879,0.822445243,0.817260496,0.583857598
models/FCN/2020-07-03_14-48-41CAT_FUZZYFEAT_INCL_REF,4831,MeanOS,0.397412668,0.467082495,0.86346689,0.907814627,0.87192998,0.654796567,788,0.0001,0.844405785,12,Relu,237,0.581646944,0.59296388,0.637279013,0.788861507,0.783194469,0.826808001,0.640250203
models/FCN/2020-07-03_14-50-57CAT_FUZZYFEAT_INCL_REF,4831,MeanOS,0.404202816,0.465974861,0.728015198,0.904868162,0.86571665,0.770989056,627,0.0001,0.810799001,13,Relu,359,0.471000451,0.493255289,0.670964229,0.868919444,0.848174751,0.796941045,0.6070515
models/FCN/2020-07-03_14-53-11CAT_FUZZYFEAT_INCL_REF,4831,MeanOS,0.405944728,0.46847755,0.840791493,0.903863655,0.867111559,0.677485187,632,0.0001,0.819943877,14,Relu,139,0.600588978,0.613517259,0.647173707,0.774087493,0.75832608,0.808118193,0.661740626
models/FCN/2020-07-03_14-55-25CAT_FUZZYFEAT_INCL_REF,4831,MeanOS,0.405876077,0.481576205,0.885014859,0.904185992,0.855714696,0.645612398,500,0.0001,0.82945173,15,Relu,135,0.539556145,0.556739016,0.677338062,0.822836142,0.801576663,0.796450028,0.637555699
models/FCN/2020-07-03_14-57-40CAT_FUZZYFEAT_INCL_REF,4831,MeanOS,0.404209481,0.479089937,0.694292696,0.904250979,0.872897112,0.770026815,614,0.0001,0.830911363,16,Relu,287,0.500832558,0.52917653,0.629900169,0.848861235,0.843298567,0.805200438,0.593953598
models/FCN/2020-07-03_14-59-57CAT_FUZZYFEAT_INCL_REF,4831,MeanOS,0.413041412,0.483171807,0.809680211,0.900887116,0.851209915,0.707638428,497,0.0001,0.831243598,17,Relu,152,0.582409584,0.576754036,0.651342307,0.790056559,0.778358207,0.81862543,0.642764444
models/FCN/2020-07-03_15-02-12CAT_FUZZYFEAT_INCL_REF,4831,MeanOS,0.384074575,0.489460841,0.789309665,0.914248896,0.859066712,0.744368635,549,0.0001,0.83758619,18,Relu,201,0.511524909,0.55414056,0.65484067,0.84210551,0.818301744,0.805361572,0.618470339
models/FCN/2020-07-03_15-04-29CAT_FUZZYFEAT_INCL_REF,4831,MeanOS,0.393017615,0.450638984,0.722908629,0.912067619,0.865603923,0.765033399,606,0.0001,0.830849613,19,Relu,236,0.502884691,0.504961237,0.687549987,0.851640264,0.836672319,0.775808465,0.62540646
